part,before_unique,after_unique,resolver_warnings,families
6128.dat,0,1,0,cylinder
612p01.dat,0,384,0,cylinder
613.dat,22,600,0,cylinder
61345.dat,8,16,1,cylinder;generic
6135.dat,3,4,0,cylinder;generic
6135a.dat,2,3,0,cylinder
6135b.dat,2,3,0,cylinder
613p01.dat,22,600,0,cylinder
61406.dat,3,5,0,cylinder
61406p01.dat,3,5,0,cylinder
61406p02.dat,3,5,0,cylinder
61406p03.dat,3,5,0,cylinder
61406p04.dat,3,5,0,cylinder
61406p05.dat,3,5,0,cylinder
61406p06.dat,3,5,0,cylinder
61406p07.dat,3,5,0,cylinder
61406p08.dat,3,5,0,cylinder
6143.dat,6,10,0,cylinder
6143d01.dat,0,10,0,cylinder
6143d02.dat,0,10,0,cylinder
61485c01.dat,31,44,0,cylinder
61521c01.dat,11,25,0,cylinder
6153.dat,0,24,0,cylinder
6153a.dat,20,24,0,cylinder
6153ap7a.dat,20,24,0,cylinder
6153b.dat,20,24,0,cylinder
6153p7a.dat,0,24,0,cylinder
6154.dat,5,13,0,cylinder
6156.dat,4,8,0,cylinder
6157.dat,3,7,0,cylinder
6159.dat,0,15,0,cylinder
6159a.dat,4,15,0,cylinder
6159c01.dat,4,15,0,cylinder
6160.dat,0,16,0,cylinder;generic
6160a.dat,4,15,0,cylinder
6160c01.dat,5,16,0,cylinder;generic
6160c02.dat,5,16,0,cylinder;generic
6160c03.dat,5,16,0,cylinder;generic
6160c04.dat,5,16,0,cylinder;generic
6161.dat,457,898,0,cylinder
6162.dat,115,234,0,cylinder
61649.dat,0,16,0,cylinder
61678d01.dat,5,7,0,cylinder
61678d02.dat,5,7,0,cylinder
61678d03.dat,5,7,0,cylinder
61678d04.dat,5,7,0,cylinder
61678d05.dat,5,7,0,cylinder
61678d06.dat,5,7,0,cylinder
61678dy0.dat,5,7,0,cylinder
61678dy1.dat,5,7,0,cylinder
61678dy2.dat,5,7,0,cylinder
61678dy3.dat,5,7,0,cylinder
6168a.dat,5,9,0,cylinder
6169.dat,26,44,11,cylinder
6177ph1.dat,32,36,0,cylinder
6177ps1.dat,32,36,0,cylinder
6178.dat,72,94,0,cylinder
6178p01.dat,72,94,0,cylinder
6179.dat,16,20,0,cylinder
6179d01.dat,16,20,0,cylinder
6179d02.dat,16,20,0,cylinder
6179p01.dat,16,20,0,cylinder
6179ps0.dat,16,20,0,cylinder
6179ps1.dat,16,20,0,cylinder
6179ps2.dat,16,20,0,cylinder
6179ps3.dat,16,20,0,cylinder
6179ps4.dat,16,20,0,cylinder
6179ps5.dat,16,20,0,cylinder
6179px0.dat,16,20,0,cylinder
6180.dat,24,36,0,cylinder
6180p01.dat,24,36,0,cylinder
6180p02.dat,24,36,0,cylinder
6180p03.dat,24,36,0,cylinder
6180ps1.dat,24,36,0,cylinder
6180ps2.dat,24,36,0,cylinder
6180ps3.dat,24,36,0,cylinder
6181.dat,34,80,0,cylinder
6188.dat,2,3,0,cylinder
618843.dat,0,3,0,cylinder
61903.dat,4,6,0,cylinder;clip
6191p01d01.dat,0,4,0,cylinder
6191p01d02.dat,0,4,0,cylinder
61927-f1.dat,3,9,0,cylinder
61927-f2.dat,3,9,0,cylinder
61927.dat,0,9,0,cylinder
61927c01.dat,0,9,0,cylinder
61929.dat,12,15,0,cylinder;generic
6197.dat,16,24,0,cylinder
6205.dat,96,122,0,cylinder
6205p01.dat,0,26,0,cylinder
6208.dat,0,8,0,cylinder
6212.dat,40,80,0,cylinder
6213.dat,12,24,0,cylinder
6213p02.dat,12,24,0,cylinder
6214.dat,11,19,0,cylinder
6215.dat,6,10,0,cylinder
6216a.dat,1,34,0,cylinder
6216m.dat,0,36,0,cylinder;generic
6218.dat,6,18,0,cylinder
6219.dat,134,242,0,cylinder
6222.dat,17,41,0,cylinder
6223.dat,5,9,0,cylinder
6225.dat,0,5,0,cylinder
6227.dat,0,6,0,cylinder
62271c01.dat,2,4,0,cylinder
62274.dat,0,2,0,cylinder
62274c01.dat,1,3,0,cylinder
62274c02.dat,0,2,0,cylinder
6228a.dat,0,36,0,cylinder;generic
6229.dat,0,8,0,cylinder
6232.dat,6,10,0,cylinder
6235.dat,12,36,0,cylinder
6238.dat,4,15,0,cylinder
62386.dat,2,4,0,cylinder
6239d01.dat,0,6,0,cylinder
6239d02.dat,0,6,0,cylinder
6239d03.dat,0,6,0,cylinder
6239d04.dat,0,6,0,cylinder
6246a.dat,0,1,0,cylinder
6246d.dat,1,2,0,cylinder
6246e.dat,1,2,0,cylinder;clip
6248.dat,0,4,0,cylinder
6249.dat,2,18,0,cylinder
62500.dat,0,4,0,cylinder
62501c01.dat,6,10,0,cylinder;generic
6253.dat,0,5,0,cylinder
62576.dat,14,29,0,cylinder
6260c01.dat,8,15,5,cylinder;generic;clip
6261.dat,0,885,0,cylinder
62623.dat,0,5,0,fingers;cylinder
6268.dat,0,7,0,cylinder
6268a.dat,0,5,0,cylinder
6268b.dat,0,7,0,cylinder
6270.dat,0,3,0,cylinder
62712.dat,4,8,2,cylinder;generic
6272.dat,4,49,0,cylinder
62743.dat,1,17,0,cylinder
62812.dat,24,124,0,cylinder
62930.dat,0,13,0,cylinder
62931.dat,0,17,0,cylinder
63082.dat,9,13,0,cylinder;generic
63144-f1.dat,0,2,0,cylinder
63144-f2.dat,0,2,0,cylinder
63208.dat,0,5,8,cylinder
63208p01.dat,0,5,8,cylinder
63286.dat,0,2,0,cylinder
63290.dat,0,1,0,cylinder
63322.dat,0,23,0,cylinder
63324.dat,0,11,0,cylinder
63325.dat,3,8,0,cylinder
63326.dat,1,2,0,cylinder
63327.dat,0,5,0,cylinder
63330.dat,0,4,0,cylinder
63333.dat,0,4,0,cylinder
63341.dat,0,6,0,cylinder
63417.dat,6,8,0,cylinder
63521.dat,22,36,0,cylinder;generic
63522.dat,0,16,0,cylinder
63523.dat,0,14,0,cylinder
63565c01.dat,0,17,0,cylinder
6361.dat,16,88,0,cylinder
63710.dat,3,10,3,cylinder;generic;clip
63710p01.dat,3,10,3,cylinder;generic;clip
63864d01.dat,0,5,0,cylinder
63868.dat,4,6,0,cylinder;clip
63869.dat,2,4,0,cylinder
6391.dat,32,64,0,generic;cylinder
63971.dat,5,7,0,cylinder
64.dat,4,6,0,cylinder
64022.dat,0,8,0,cylinder
64022c01.dat,0,8,0,cylinder
64022c02.dat,0,8,0,cylinder
64034.dat,6,14,0,cylinder;generic
64053.dat,0,8,0,cylinder
64060.dat,0,6,0,cylinder
6413.dat,8,16,0,cylinder
64227.dat,0,54,0,cylinder
64228.dat,32,53,0,cylinder;generic
64228c01.dat,32,53,0,cylinder;generic
64288.dat,2,3,0,cylinder
64289.dat,2,10,0,cylinder
64290.dat,2,12,0,cylinder
6431.dat,37,101,0,cylinder;clip
6431c01.dat,42,106,0,cylinder;clip
6431c02.dat,42,106,0,cylinder;clip
64391.dat,1,8,0,cylinder
64391d01.dat,0,8,0,cylinder
64391d02.dat,0,8,0,cylinder
64391d03.dat,0,8,0,cylinder
64393.dat,1,8,0,cylinder
64393d01.dat,0,8,0,cylinder
64393d02.dat,0,8,0,cylinder
64393d03.dat,0,8,0,cylinder
64414.dat,0,4,0,cylinder
64417c01.dat,0,4,0,cylinder
64422.dat,0,4,0,cylinder
64450.dat,2,10,0,cylinder
64452.dat,0,16,0,cylinder;generic
64452p01.dat,0,16,0,cylinder;generic
64452p02.dat,0,16,0,cylinder;generic
64454.dat,12,22,0,cylinder
6446.dat,0,8,0,cylinder
64462.dat,13,21,0,cylinder
645.dat,0,12,0,cylinder
64570.dat,12,36,0,cylinder
64572.dat,0,4,0,cylinder
64573.dat,0,4,0,cylinder
645ac01.dat,0,6,0,cylinder
645bc01.dat,0,12,0,cylinder
645cc01.dat,0,12,0,cylinder
646.dat,0,18,0,cylinder
64634.dat,10,29,0,cylinder
64645.dat,51,75,0,cylinder
64651.dat,85,185,0,cylinder
64680.dat,0,11,0,cylinder
64681d01.dat,1,8,0,cylinder
64681d02.dat,1,8,0,cylinder
64681d03.dat,1,8,0,cylinder
64682.dat,0,11,0,cylinder
64683d01.dat,1,8,0,cylinder
64683d02.dat,1,8,0,cylinder
64683d03.dat,1,8,0,cylinder
646ac01.dat,6,12,0,cylinder
646bc01.dat,6,18,0,cylinder
646cc01.dat,6,18,0,cylinder
6475.dat,0,380,0,cylinder
64776.dat,0,24,0,cylinder
64776p01.dat,0,24,0,cylinder
64778.dat,4,8,0,cylinder;generic
64778p01.dat,4,8,0,cylinder;generic
64779c01.dat,0,12,0,cylinder;generic
64779p01c01.dat,0,12,0,cylinder;generic
6478.dat,0,8,0,cylinder
64780.dat,0,2,0,cylinder
64780p01.dat,0,2,0,cylinder
64780p02.dat,0,2,0,cylinder
648.dat,6,136,0,cylinder
64835c01.dat,0,4,0,cylinder
64835p01c01.dat,0,4,0,cylinder
64835p02c01.dat,0,4,0,cylinder
64867.dat,12,14,0,cylinder
64867p01.dat,12,14,0,cylinder
64867p02.dat,12,14,0,cylinder
64867p03.dat,12,14,0,cylinder
64867p04.dat,12,14,0,cylinder
64871.dat,2,16,0,cylinder
649.dat,0,4,0,cylinder
64951.dat,7,11,0,cylinder
64954.dat,0,106,0,cylinder
65.dat,1,2,0,cylinder
650.dat,0,8,0,cylinder
65067.dat,7,82,0,cylinder
65068.dat,30,61,0,cylinder
65094.dat,0,169,0,cylinder
65094p01.dat,0,169,0,cylinder
650a.dat,0,4,0,cylinder
650b.dat,0,4,0,cylinder
650k01.dat,0,4,0,cylinder
650k02.dat,0,4,0,cylinder
65129.dat,4,12,0,cylinder
65132.dat,0,28,0,cylinder
65133.dat,0,12,0,cylinder
65138.dat,14,18,0,cylinder
65140.dat,0,60,0,cylinder
65141c01.dat,0,1,0,cylinder
65143.dat,0,1,0,cylinder
65143c01.dat,0,1,0,cylinder
65151-f1.dat,0,2,0,cylinder
65151-f2.dat,0,2,0,cylinder
652.dat,6,12,0,cylinder;generic;fingers
65200.dat,4,100,0,cylinder
65202.dat,4,58,0,cylinder
65273.dat,0,8,0,cylinder
652c01.dat,13,25,0,cylinder;generic;fingers
653.dat,6,12,0,cylinder;generic;fingers
6536.dat,1,2,0,cylinder
65422-f1.dat,1,3,0,cylinder
65422-f2.dat,0,3,0,cylinder
65422.dat,1,3,0,cylinder
65426.dat,4,6,0,cylinder
65429.dat,4,6,0,cylinder
6543.dat,21,37,0,cylinder;generic
65486.dat,0,60,0,cylinder
65509.dat,4,12,0,cylinder
6551.dat,0,20,0,cylinder
6551c01.dat,12,20,0,cylinder
6553.dat,1,2,0,cylinder
6554c01.dat,0,4,0,cylinder
6556.dat,9,16,0,cylinder;fingers
65632.dat,2,6,0,cylinder
65633.dat,2,4,0,cylinder
65634.dat,56,162,4,cylinder
65635.dat,4,20,0,cylinder
6564dt0.dat,0,8,0,cylinder
6564dy0.dat,0,8,0,cylinder
6565dt0.dat,0,8,0,cylinder
6565dy0.dat,0,8,0,cylinder
65735.dat,10,39,0,cylinder
6576.dat,32,44,0,cylinder
65781.dat,0,9,0,cylinder
65803.dat,4,304,0,cylinder
6580bc01.dat,0,1,0,cylinder
6584.dat,110,250,0,cylinder
6590.dat,0,1,0,cylinder
6595c01.dat,1,7,0,cylinder
6595c02.dat,1,7,0,cylinder
66155c01.dat,0,1,0,cylinder
66252.dat,2,12,0,clip;cylinder
6625c01.dat,4,8,0,cylinder
6625c02.dat,0,4,0,cylinder
6628.dat,2,3,0,cylinder;generic
6636.dat,6,11,0,cylinder
663626.dat,0,11,0,cylinder
6636d01.dat,0,11,0,cylinder
6636d50.dat,0,11,0,cylinder
6636dm0.dat,0,11,0,cylinder
6636dm1.dat,0,11,0,cylinder
6636p01.dat,6,11,0,cylinder
6636p02.dat,6,11,0,cylinder
6636p03.dat,6,11,0,cylinder
6636p04.dat,6,11,0,cylinder
6636p05.dat,6,11,0,cylinder
6636p06.dat,6,11,0,cylinder
6636p07.dat,6,11,0,cylinder
6636p08.dat,6,11,0,cylinder
6636p09.dat,6,11,0,cylinder
6636p0a.dat,6,11,0,cylinder
6636p0b.dat,6,11,0,cylinder
6636p0c.dat,6,11,0,cylinder
6636p10.dat,6,11,0,cylinder
6636py0.dat,6,11,0,cylinder
6636py1.dat,6,11,0,cylinder
6637c01.dat,0,4,1,cylinder
66606.dat,20,24,0,cylinder
66614.dat,0,5,9,cylinder
66727c01.dat,0,2,0,cylinder
66789.dat,36,56,0,cylinder
66790.dat,68,96,0,cylinder
66792.dat,12,28,0,cylinder
66821-f1.dat,0,28,0,cylinder
66821k01.dat,0,2,0,cylinder
66855.dat,0,4,0,cylinder
66855p01.dat,0,4,0,cylinder
66855p02.dat,0,4,0,cylinder
66855p03.dat,0,4,0,cylinder
66855p04.dat,0,4,0,cylinder
66855p05.dat,0,4,0,cylinder
66855p06.dat,0,4,0,cylinder
66855p07.dat,0,4,0,cylinder
66859.dat,10,14,0,cylinder
66906.dat,2,3,0,cylinder;generic
66961.dat,0,2,0,cylinder
67.dat,11,14,0,cylinder
670.dat,12,20,0,cylinder;fingers
67013.dat,0,4,0,cylinder
67013p01.dat,0,4,0,cylinder
67075.dat,0,4,0,cylinder
67131.dat,3,5,0,cylinder
67196-f1.dat,0,14,0,cylinder
67325.dat,3,4,0,cylinder;generic
67329.dat,3,21,0,cylinder
67351.dat,2,25,0,cylinder;generic
67351c01.dat,0,25,0,cylinder;generic
67440.dat,3,11,0,cylinder
67446.dat,2,14,0,cylinder
67498-f1.dat,0,9,0,cylinder
67498-f2.dat,0,9,0,cylinder
675.dat,0,3,0,cylinder
676.dat,0,2,0,cylinder
67692.dat,2,2,0,generic;cylinder
67695.dat,1,2,0,cylinder
67696.dat,1,5,1,cylinder
67697.dat,1,3,0,cylinder;generic
67718.dat,6,50,0,cylinder;generic
67718c01.dat,0,50,0,cylinder;generic
67718p01.dat,6,50,0,cylinder;generic
67737.dat,0,16,0,cylinder
67759.dat,4,39,0,cylinder
679.dat,0,6,0,cylinder
67931.dat,0,4,0,cylinder
67931p01.dat,0,4,0,cylinder
67950.dat,0,4,0,cylinder
67950p01.dat,0,4,0,cylinder
67c01.dat,0,20,0,cylinder
68.dat,2,3,0,cylinder
68196.dat,0,2,0,cylinder
68297.dat,30,56,0,cylinder
68325.dat,14,18,0,cylinder
68382.dat,2,10,0,cylinder
68446.dat,9,169,0,cylinder
68488.dat,0,21,0,cylinder
68488c01.dat,0,22,0,cylinder;generic
6850.dat,0,288,0,cylinder
6851.dat,188,188,0,cylinder
68568.dat,6,10,0,cylinder
685p01c01.dat,10,18,1,cylinder;fingers
69066.dat,3,5,0,cylinder
691.dat,0,2,0,cylinder
692.dat,0,2,0,cylinder
6941.dat,0,4,0,cylinder
69633c01.dat,0,7,0,cylinder
69730.dat,0,37,0,cylinder
69730c01.dat,0,38,0,cylinder;generic
699.dat,4,84,0,cylinder
69906.dat,0,14,0,cylinder
69958.dat,0,64,0,cylinder
69963.dat,0,12,0,cylinder
69984.dat,21,25,0,clip;cylinder
69c01.dat,0,3,0,cylinder
700.dat,200,400,0,cylinder
70026.dat,4,68,0,cylinder;generic
70081c01.dat,0,2,0,cylinder
700a.dat,200,400,0,cylinder
702.dat,12,24,0,cylinder
7026.dat,0,6,0,cylinder
7026c.dat,0,6,0,cylinder
7028.dat,0,6,0,cylinder
70358.dat,0,17,0,cylinder
7039.dat,1,5,0,cylinder
7039c01.dat,0,5,0,cylinder
7039c02.dat,0,5,0,cylinder
7039c03.dat,0,5,0,cylinder
70423c01.dat,0,9,0,generic;cylinder
70423c02.dat,0,18,0,generic;cylinder
7049.dat,3,19,0,cylinder
70496.dat,0,4,0,cylinder
7049a.dat,11,19,0,cylinder
7049b.dat,11,19,0,cylinder
7049c.dat,11,19,0,cylinder
70646.dat,0,12,0,cylinder
70770.dat,0,1,0,cylinder
708.dat,2,3,0,cylinder
70823.dat,4,6,0,cylinder
709.dat,25,49,0,cylinder
70942.dat,1,3,0,cylinder;generic
710.dat,101,173,0,cylinder
71076.dat,1,2,0,cylinder
711.dat,31,61,0,cylinder
712.dat,29,58,0,cylinder
712a.dat,30,58,0,cylinder
712ap01.dat,29,57,0,cylinder
712b.dat,1,29,0,cylinder
713.dat,0,57,0,cylinder
713a.dat,29,57,0,cylinder
713b.dat,1,29,0,cylinder
715.dat,1,13,0,cylinder
715c01.dat,0,13,0,cylinder
715c02.dat,0,13,0,cylinder
71603.dat,0,32,0,cylinder
71613.dat,0,15,0,cylinder
71772.dat,0,32,0,cylinder
71772p01.dat,0,32,0,cylinder
71874.dat,0,3,0,cylinder
71958c01.dat,44,196,0,cylinder
72.dat,0,4,0,cylinder
720.dat,0,3,0,cylinder
72024.dat,5,17,0,cylinder
721.dat,0,32,0,cylinder
72132.dat,12,32,0,cylinder
72156.dat,0,10,0,cylinder
72454.dat,18,26,0,cylinder
72475.dat,2,18,0,cylinder
72631.dat,1,25,0,cylinder
72631c01.dat,0,33,0,cylinder
72631c02.dat,0,33,0,cylinder
72632.dat,0,25,0,cylinder
72632c01.dat,0,33,0,cylinder
72632c02.dat,0,33,0,cylinder
72633.dat,4,16,0,cylinder
72633c01.dat,0,24,0,cylinder
72633c02.dat,0,24,0,cylinder
72634.dat,8,24,0,cylinder
72634c01.dat,0,32,0,cylinder
72634c02.dat,0,32,0,cylinder
728.dat,88,176,0,cylinder
7284.dat,0,2,0,cylinder
729.dat,2,88,0,cylinder
73037.dat,0,16,0,cylinder
73081.dat,0,5,0,cylinder
73090.dat,12,38,0,cylinder
73090a.dat,14,38,0,cylinder
73090b.dat,12,36,0,cylinder
73090bd01.dat,12,36,0,cylinder
73092.dat,0,1,0,fingers
73109.dat,5,11,0,cylinder
73110.dat,5,41,0,cylinder
73111.dat,13,21,0,cylinder
73112.dat,0,65,0,cylinder
73129.dat,1,2,0,cylinder
73162.dat,2,10,0,cylinder
73162p01.dat,2,10,0,cylinder
73194c01.dat,2,4,0,cylinder
73194c02.dat,2,4,0,cylinder
73194c03.dat,2,4,0,cylinder
73194c04.dat,2,4,0,cylinder
732.dat,0,1,0,cylinder
73200-f1.dat,0,12,0,cylinder
73200-f2.dat,0,12,0,cylinder
73200.dat,0,13,0,cylinder
73200b-f1.dat,0,12,0,cylinder
73200b-f2.dat,0,12,0,cylinder
73200b.dat,0,12,0,cylinder
73200bp30.dat,0,12,0,cylinder
73200bp3j.dat,0,12,0,cylinder
73200bp40.dat,0,12,0,cylinder
73200bp41.dat,0,12,0,cylinder
73200bp42.dat,0,12,0,cylinder
73200bp4f.dat,0,12,0,cylinder
73200bp60.dat,0,12,0,cylinder
73200bp61.dat,0,12,0,cylinder
73200bp62.dat,0,12,0,cylinder
73200bp63.dat,0,12,0,cylinder
73200bp6f.dat,0,12,0,cylinder
73200bp6g.dat,0,12,0,cylinder
73200bp6u.dat,0,12,0,cylinder
73200bp6v.dat,0,12,0,cylinder
73200bp6w.dat,0,12,0,cylinder
73200bp70.dat,0,12,0,cylinder
73200bp71.dat,0,12,0,cylinder
73200bp72.dat,0,12,0,cylinder
73200bp89.dat,0,12,0,cylinder
73200bp8a.dat,0,12,0,cylinder
73200bp8h.dat,0,12,0,cylinder
73200bp8i.dat,0,12,0,cylinder
73200bpa2.dat,0,12,0,cylinder
73200bpa3.dat,0,12,0,cylinder
73200bpa9.dat,0,12,0,cylinder
73200bpaw.dat,0,12,0,cylinder
73200bpaz.dat,0,12,0,cylinder
73200bpb8.dat,0,12,0,cylinder
73200bpb9.dat,0,12,0,cylinder
73200bpba.dat,0,12,0,cylinder
73200bpbb.dat,0,12,0,cylinder
73200bpbc.dat,0,12,0,cylinder
73200bpbd.dat,0,12,0,cylinder
73200bpbe.dat,0,12,0,cylinder
73200bpbf.dat,0,12,0,cylinder
73200bpbg.dat,0,12,0,cylinder
73200bpc1.dat,0,12,0,cylinder
73200bpc44.dat,0,12,0,cylinder
73200bpc4b.dat,0,12,0,cylinder
73200bpc67.dat,0,12,0,cylinder
73200bpc6a.dat,0,12,0,cylinder
73200bpc97.dat,0,12,0,cylinder
73200bpcbd.dat,0,12,0,cylinder
73200bpd6e.dat,0,12,0,cylinder
73200bpdd1.dat,0,12,0,cylinder
73200bpde.dat,0,12,0,cylinder
73200bph0.dat,0,12,0,cylinder
73200bphb.dat,0,12,0,cylinder
73200bphf.dat,0,12,0,cylinder
73200bpm0.dat,0,12,0,cylinder
73200bpm1.dat,0,12,0,cylinder
73200bpm2.dat,0,12,0,cylinder
73200bpn4.dat,0,12,0,cylinder
73200bpq0.dat,0,12,0,cylinder
73200bpq1.dat,0,12,0,cylinder
73200bpq2.dat,0,12,0,cylinder
73200bps0.dat,0,12,0,cylinder
73200bps1.dat,0,12,0,cylinder
73200bps2.dat,0,12,0,cylinder
73200bps3.dat,0,12,0,cylinder
73200bps4.dat,0,12,0,cylinder
73200bps5.dat,0,12,0,cylinder
73200bps6.dat,0,12,0,cylinder
73200bpsk.dat,0,12,0,cylinder
73200bpu1.dat,0,12,0,cylinder
73200bpw1.dat,0,12,0,cylinder
73200bpw2.dat,0,12,0,cylinder
73200bpw3.dat,0,12,0,cylinder
73200bpw4.dat,0,12,0,cylinder
73200bpx0.dat,0,12,0,cylinder
73200bpx1.dat,0,12,0,cylinder
73200bpx2.dat,0,12,0,cylinder
73200bpy0.dat,0,12,0,cylinder
73200bpy1.dat,0,12,0,cylinder
73200bpy2.dat,0,12,0,cylinder
73200p30.dat,0,12,0,cylinder
73200p3j.dat,0,12,0,cylinder
73200p40.dat,0,12,0,cylinder
73200p41.dat,0,12,0,cylinder
73200p42.dat,0,12,0,cylinder
73200p4f.dat,0,12,0,cylinder
73200p60.dat,0,12,0,cylinder
73200p63.dat,0,12,0,cylinder
73200p6f.dat,0,12,0,cylinder
73200p6g.dat,0,12,0,cylinder
73200p6u.dat,0,12,0,cylinder
73200p6v.dat,0,12,0,cylinder
73200p6w.dat,0,12,0,cylinder
73200p70.dat,0,12,0,cylinder
73200p71.dat,0,12,0,cylinder
73200p89.dat,0,12,0,cylinder
73200p8h.dat,0,12,0,cylinder
73200p8i.dat,0,12,0,cylinder
73200pa2.dat,0,12,0,cylinder
73200pa3.dat,0,12,0,cylinder
73200pa9.dat,0,12,0,cylinder
73200paw.dat,0,12,0,cylinder
73200pba.dat,0,12,0,cylinder
73200pbb.dat,0,12,0,cylinder
73200pbc.dat,0,12,0,cylinder
73200pbe.dat,0,12,0,cylinder
73200pbf.dat,0,12,0,cylinder
73200pc1.dat,0,12,0,cylinder
73200pc44.dat,0,12,0,cylinder
73200pc4b.dat,0,12,0,cylinder
73200pc67.dat,0,12,0,cylinder
73200pc6a.dat,0,12,0,cylinder
73200pc97.dat,0,12,0,cylinder
73200pcbd.dat,0,12,0,cylinder
73200pd6e.dat,0,12,0,cylinder
73200pde.dat,0,12,0,cylinder
73200ph0.dat,0,12,0,cylinder
73200pm0.dat,0,12,0,cylinder
73200pm1.dat,0,12,0,cylinder
73200pm2.dat,0,12,0,cylinder
73200pq0.dat,0,12,0,cylinder
73200pq1.dat,0,12,0,cylinder
73200pq2.dat,0,12,0,cylinder
73200ps0.dat,0,12,0,cylinder
73200ps5.dat,0,12,0,cylinder
73200psk.dat,0,12,0,cylinder
73200pu1.dat,0,12,0,cylinder
73200pw1.dat,0,12,0,cylinder
73200pw2.dat,0,12,0,cylinder
73200pw3.dat,0,12,0,cylinder
73200px0.dat,0,12,0,cylinder
73200px2.dat,0,12,0,cylinder
73312.dat,0,3,0,cylinder
73313.dat,0,3,0,cylinder
73351.dat,17,33,0,cylinder
73418.dat,0,13,0,cylinder
73435.dat,2,4,0,cylinder
73436.dat,2,4,0,cylinder
73479.dat,0,27,0,cylinder
73562.dat,6,12,0,cylinder
73590.dat,0,4,0,cylinder
73590a.dat,2,4,0,cylinder
73590b.dat,2,4,0,cylinder
73593.dat,0,3,0,cylinder
73594.dat,0,6,0,cylinder
736.dat,38,164,0,cylinder;generic
73603.dat,0,31,0,cylinder
73642.dat,5,19,0,cylinder
73664.dat,6,8,0,cylinder
73696.dat,0,59,0,cylinder
73696c00.dat,0,59,0,cylinder
73696c01.dat,30,186,0,cylinder
73696c02.dat,30,186,0,cylinder
73696c03.dat,31,189,0,cylinder;generic
73696c04.dat,31,189,0,cylinder;generic
73697.dat,0,23,1,cylinder
73697c00.dat,0,23,1,cylinder
73697c01.dat,30,127,1,cylinder
73697c02.dat,30,127,1,cylinder
73697c03.dat,31,130,1,cylinder;generic
73697c04.dat,31,130,1,cylinder;generic
736c01.dat,38,168,0,cylinder;generic
736c02.dat,2,170,2,cylinder;generic
737.dat,9,17,0,cylinder
73741.dat,0,252,0,cylinder
73742.dat,0,422,0,cylinder
737c01-f1.dat,9,17,0,cylinder
737c01-f2.dat,9,17,0,cylinder
73825.dat,2,6,0,cylinder
73831.dat,9,14,0,cylinder
73861.dat,0,6,0,cylinder
73878c01.dat,0,1,2,generic
739.dat,0,4,0,cylinder
73983.dat,6,12,0,cylinder
74011.dat,0,12,0,cylinder
74013.dat,0,82,0,cylinder
74040.dat,0,13,0,cylinder
741.dat,1,5,0,cylinder
74140.dat,1,13,0,cylinder
74166.dat,4,92,0,cylinder
742.dat,13,25,0,cylinder
743.dat,53,105,0,cylinder
74330.dat,0,12,0,cylinder
744.dat,77,153,0,cylinder
74572.dat,0,49,0,cylinder
74573.dat,0,14,0,cylinder
74611.dat,1,45,0,cylinder
74650.dat,56,98,0,cylinder
74656.dat,6,38,0,cylinder;clip
74656p01.dat,6,38,0,cylinder;clip
74656p02.dat,6,38,0,cylinder;clip
74656p03.dat,6,38,0,cylinder;clip
74695.dat,0,2,0,cylinder
74780-f1.dat,8,10,7,cylinder
74780-f2.dat,8,10,7,cylinder
74781-f1.dat,8,10,7,cylinder
74781-f2.dat,8,10,7,cylinder
74880.dat,3,5,0,cylinder
749.dat,6,10,0,cylinder
74948.dat,6,7,0,cylinder;generic
74948p01.dat,6,7,0,cylinder;generic
74948p02.dat,6,7,0,cylinder;generic
74967c01.dat,0,1,0,cylinder
74967p01c01.dat,0,1,0,cylinder
74981-f1.dat,2,6,0,cylinder
74981-f2.dat,2,6,0,cylinder
74981a.dat,0,6,0,cylinder
74981b.dat,0,6,0,cylinder
74982-f1.dat,0,5,0,cylinder
74982-f2.dat,0,5,0,cylinder
74982a.dat,0,5,0,cylinder
74982b.dat,0,5,0,cylinder
75.dat,0,6,0,cylinder
75174.dat,2,20,1,cylinder;fingers;clip;generic
75174c01.dat,1,3,5,cylinder;fingers
75174p01.dat,0,18,1,cylinder;fingers;clip;generic
75174p01c01.dat,3,6,5,cylinder;fingers
75192.dat,0,25,0,cylinder
75214.dat,0,22,0,cylinder
75347.dat,1,9,0,cylinder
75348.dat,0,5,0,cylinder
75349.dat,14,30,0,cylinder
75350.dat,38,78,0,cylinder
753c01.dat,9,17,1,cylinder;clip
753c02.dat,9,17,1,cylinder;clip
75538.dat,0,6,0,cylinder
75539.dat,0,12,0,cylinder
75545.dat,0,8,0,cylinder
75652.dat,0,16,0,cylinder
75815.dat,0,1,1,cylinder
758c01.dat,0,3,0,cylinder
75902.dat,0,1,0,cylinder
75902p01.dat,0,1,0,cylinder
75902p02.dat,0,1,0,cylinder
75902p03.dat,0,1,0,cylinder
75902p04.dat,0,1,0,cylinder
75902p05.dat,0,1,0,cylinder
75902p06.dat,0,1,0,cylinder
75902p07.dat,0,1,0,cylinder
75902p08.dat,0,1,0,cylinder
75902p09.dat,0,1,0,cylinder
75902p0a.dat,0,1,0,cylinder
75902p0b.dat,0,1,0,cylinder
75902pb0.dat,0,1,0,cylinder
75902pb1.dat,0,1,0,cylinder
75902pb2.dat,0,1,0,cylinder
75902ps1.dat,0,1,0,cylinder
75924.dat,2,4,0,cylinder
75972.dat,0,36,0,cylinder
75973.dat,0,13,0,cylinder
